8888 통합 관제 대시보드: http://localhost:8888
[DISCORD BOT] Token not found in discord_bot_token.txt or env. Listener waiting for token.
[DISCORD] 20:35:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:36:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:36:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:37:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:37:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:38:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:38:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:39:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:39:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:40:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:40:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:41:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:41:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:42:23 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=2.6s
[DISCORD] 20:42:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:43:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:43:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:44:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:44:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:45:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:45:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:46:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:46:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:47:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 20:47:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:48:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:48:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:49:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:49:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:50:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:50:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:51:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:51:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:52:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:52:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:53:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:53:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:54:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:54:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:55:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:55:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:56:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 20:56:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 20:57:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:57:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:58:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:58:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:59:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 20:59:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 21:00:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 21:00:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 21:01:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 21:01:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 21:02:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 21:02:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 21:03:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 21:03:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 21:04:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 21:04:51 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 21:05:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 21:05:52 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 21:06:21 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
